scapula_sacrum_tail_angle,tail_angle_diff,tail_movement_1s,tail_movement_2s,tail_movement_3s,emotion
90.997651051968,,,,,0
95.89800391887093,4.900352866902907,4.900352866902907,4.900352866902907,4.900352866902907,0
104.0025684437982,8.104564524927284,13.00491739183019,13.00491739183019,13.00491739183019,0
106.91165192560275,2.909083481804572,15.914000873634762,15.914000873634762,15.914000873634762,0
105.55993126554904,1.3517206600537293,17.26572153368849,17.26572153368849,17.26572153368849,0
102.27323141162704,3.286699853921988,20.55242138761048,20.55242138761048,20.55242138761048,0
100.39589041926985,1.8773409923572049,22.429762379967684,22.429762379967684,22.429762379967684,0
93.63806375865124,6.757826660618605,29.18758904058629,29.18758904058629,29.18758904058629,0
40.37980837320222,53.25825538544902,82.44584442603531,82.44584442603531,82.44584442603531,0
135.1656267905254,94.78581841732318,177.2316628433585,177.2316628433585,177.2316628433585,0
6.203118310596985,128.96250847992843,306.1941713232869,306.1941713232869,306.1941713232869,0
2.6640526276547547,3.5390656829422307,304.83288413932627,309.7332370062292,309.7332370062292,0
107.8840673223858,105.22001469473103,401.94833430913,414.9532517009602,414.9532517009602,0
17.489993662288096,90.39407366009767,489.4333244874231,505.3473253610578,505.3473253610578,0
123.50561297753184,106.01561931524373,594.0972231426131,611.3629446763016,611.3629446763016,0
95.98484028768898,27.520772689842843,618.331295978534,638.8837173661444,638.8837173661444,0
92.48673215795148,3.4981081297375027,619.9520631159143,642.3818254958819,642.3818254958819,0
91.68636737184237,0.8003647861091139,613.9946012414048,643.1821902819911,643.1821902819911,0
2.657561116417708,89.02880625542466,649.7651521113803,732.2109965374157,732.2109965374157,0
94.2572113802567,91.599650263839,646.5789839578963,823.8106468012547,823.8106468012547,0
87.87653584992525,6.380675530331459,523.9971510082993,830.1913223315862,830.1913223315862,0
3.7832963791456273,84.09323947077962,604.5513247961367,909.3842089354628,914.2845618023658,0
16.287676158900382,12.504379779754755,511.8356898811604,913.7840241902904,926.7889415821204,0
3.8893186207653367,12.398357538135045,433.8399737591977,923.2732982466208,939.1872991202556,0
62.21324705311722,58.323928432351885,386.1482828763058,980.245506018919,997.5112275526076,0
60.60832511838381,1.6049219347334116,360.2324321211965,978.5637280997304,999.1161494873407,0
